{'01044099999': -10.0, '02293099999': -27.6}
         395640 function calls (390840 primitive calls) in 6.386 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    145/1    0.000    0.000    6.386    6.386 {built-in method builtins.exec}
        1    0.000    0.000    6.386    6.386 load.py:1(<module>)
        1    0.004    0.004    6.146    6.146 load.py:40(download_all_data)
        2    0.001    0.000    6.141    3.070 load.py:30(download_data)
        2    0.000    0.000    6.120    3.060 api.py:62(get)
        2    0.000    0.000    6.120    3.060 api.py:14(request)
        2    0.000    0.000    6.120    3.060 sessions.py:500(request)
        2    0.000    0.000    6.113    3.056 sessions.py:673(send)
     2500    0.007    0.000    5.565    0.002 socket.py:706(readinto)
     2500    0.009    0.000    5.552    0.002 ssl.py:1289(recv_into)
     2500    0.005    0.000    5.541    0.002 ssl.py:1129(read)
     2500    5.535    0.002    5.535    0.002 {method 'read' of '_ssl._SSLSocket' objects}
        6    0.000    0.000    5.476    0.913 models.py:890(content)
       22    0.006    0.000    5.476    0.249 {method 'join' of 'bytes' objects}
     1171    0.001    0.000    5.470    0.005 models.py:816(generate)
     1171    0.004    0.000    5.469    0.005 response.py:1069(stream)
     1169    0.009    0.000    5.463    0.005 response.py:941(read)
     1171    0.011    0.000    5.420    0.005 response.py:889(_raw_read)
     1312    0.028    0.000    5.402    0.004 {method 'read' of '_io.BufferedReader' objects}
     1171    0.002    0.000    5.392    0.005 response.py:832(_fp_read)
     1171    0.006    0.000    5.390    0.005 client.py:463(read)
        2    0.000    0.000    0.637    0.318 adapters.py:590(send)
        2    0.000    0.000    0.635    0.317 connectionpool.py:592(urlopen)
        2    0.000    0.000    0.634    0.317 connectionpool.py:377(_make_request)
        2    0.000    0.000    0.439    0.219 connectionpool.py:1085(_validate_conn)
        2    0.000    0.000    0.439    0.219 connection.py:718(connect)
       18    0.000    0.000    0.262    0.015 __init__.py:1(<module>)
        2    0.000    0.000    0.250    0.125 connection.py:895(_ssl_wrap_socket_and_match_hostname)
        2    0.000    0.000    0.246    0.123 ssl_.py:410(ssl_wrap_socket)
        2    0.000    0.000    0.194    0.097 connection.py:534(getresponse)
        2    0.000    0.000    0.193    0.096 client.py:1386(getresponse)
        2    0.000    0.000    0.193    0.096 client.py:324(begin)
        2    0.000    0.000    0.192    0.096 ssl_.py:508(_ssl_wrap_socket_impl)
        2    0.000    0.000    0.192    0.096 ssl.py:449(wrap_socket)
        2    0.000    0.000    0.192    0.096 ssl.py:990(_create)
        2    0.000    0.000    0.192    0.096 ssl.py:1365(do_handshake)
        2    0.192    0.096    0.192    0.096 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.191    0.095 client.py:291(_read_status)
       26    0.000    0.000    0.191    0.007 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.189    0.094 connection.py:192(_new_conn)
        2    0.000    0.000    0.188    0.094 connection.py:27(create_connection)
        2    0.183    0.092    0.183    0.092 {method 'connect' of '_socket.socket' objects}
        1    0.006    0.006    0.126    0.126 load.py:59(get_all_temperatures)
    33650    0.090    0.000    0.117    0.000 load.py:46(get_file_temperatures)
    196/4    0.000    0.000    0.113    0.028 <frozen importlib._bootstrap>:1349(_find_and_load)
    195/4    0.000    0.000    0.113    0.028 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    172/4    0.000    0.000    0.113    0.028 <frozen importlib._bootstrap>:911(_load_unlocked)
    143/4    0.000    0.000    0.113    0.028 <frozen importlib._bootstrap_external>:1020(exec_module)
    408/8    0.000    0.000    0.112    0.014 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    20/10    0.000    0.000    0.069    0.007 {built-in method builtins.__import__}
        2    0.053    0.027    0.053    0.027 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    57/31    0.000    0.000    0.051    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    0.050    0.025 exceptions.py:1(<module>)
      143    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
  172/168    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    25/22    0.000    0.000    0.031    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
    25/22    0.030    0.001    0.031    0.001 {built-in method _imp.create_dynamic}
      143    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
        1    0.000    0.000    0.023    0.023 connectionpool.py:1(<module>)
        1    0.000    0.000    0.022    0.022 client.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _request_methods.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _base_connection.py:1(<module>)
     1169    0.005    0.000    0.017    0.000 response.py:281(get)
        4    0.016    0.004    0.016    0.004 {built-in method _io.open}
        3    0.000    0.000    0.016    0.005 response.py:1(<module>)
        1    0.000    0.000    0.016    0.016 compat.py:1(<module>)
       80    0.000    0.000    0.015    0.000 __init__.py:330(_compile)
       78    0.000    0.000    0.015    0.000 __init__.py:287(compile)
        2    0.000    0.000    0.015    0.007 connection.py:1(<module>)
       76    0.000    0.000    0.015    0.000 _compiler.py:743(compile)
        1    0.000    0.000    0.012    0.012 ssl_.py:1(<module>)
        2    0.012    0.006    0.012    0.006 {method 'write' of '_io.TextIOWrapper' objects}
  456/452    0.003    0.000    0.011    0.000 {built-in method builtins.__build_class__}
      194    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.010    0.010 ssl.py:1(<module>)
        2    0.000    0.000    0.010    0.005 api.py:1(<module>)
      190    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      190    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
