{'01044099999': -10.0, '02293099999': -27.6}
         315347 function calls (310628 primitive calls) in 1.304 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.001    0.000    2.821    0.157 __init__.py:1(<module>)
    144/1    0.002    0.000    1.304    1.304 {built-in method builtins.exec}
        1    0.000    0.000    1.304    1.304 load_cache.py:1(<module>)
    195/3    0.002    0.000    1.179    0.393 <frozen importlib._bootstrap>:1349(_find_and_load)
    194/3    0.001    0.000    1.179    0.393 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    171/3    0.001    0.000    1.179    0.393 <frozen importlib._bootstrap>:911(_load_unlocked)
    142/3    0.001    0.000    1.179    0.393 <frozen importlib._bootstrap_external>:1020(exec_module)
    406/6    0.001    0.000    1.166    0.194 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     19/9    0.000    0.000    0.636    0.071 {built-in method builtins.__import__}
      142    0.002    0.000    0.556    0.004 <frozen importlib._bootstrap_external>:1093(get_code)
      142    0.001    0.000    0.516    0.004 <frozen importlib._bootstrap_external>:1214(get_data)
      142    0.502    0.004    0.502    0.004 {built-in method _io.open_code}
    57/31    0.000    0.000    0.479    0.015 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    0.471    0.236 exceptions.py:1(<module>)
  171/167    0.001    0.000    0.417    0.002 <frozen importlib._bootstrap>:806(module_from_spec)
    25/22    0.000    0.000    0.411    0.019 <frozen importlib._bootstrap_external>:1318(create_module)
    25/22    0.403    0.016    0.410    0.019 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.340    0.340 connectionpool.py:1(<module>)
        1    0.000    0.000    0.288    0.288 _request_methods.py:1(<module>)
        3    0.000    0.000    0.226    0.075 response.py:1(<module>)
        2    0.000    0.000    0.207    0.103 connection.py:1(<module>)
        1    0.000    0.000    0.197    0.197 client.py:1(<module>)
        1    0.000    0.000    0.186    0.186 compat.py:1(<module>)
        1    0.000    0.000    0.158    0.158 _base_connection.py:1(<module>)
        1    0.007    0.007    0.125    0.125 load_cache.py:54(get_all_temperatures)
    33650    0.097    0.000    0.115    0.000 load_cache.py:41(get_file_temperatures)
        2    0.000    0.000    0.114    0.057 api.py:1(<module>)
        1    0.000    0.000    0.111    0.111 compat.py:30(_resolve_char_detection)
        3    0.000    0.000    0.111    0.037 __init__.py:71(import_module)
        3    0.000    0.000    0.111    0.037 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.103    0.103 parser.py:1(<module>)
        1    0.000    0.000    0.096    0.096 feedparser.py:1(<module>)
        1    0.000    0.000    0.088    0.088 _policybase.py:1(<module>)
        3    0.000    0.000    0.088    0.029 utils.py:1(<module>)
        1    0.000    0.000    0.085    0.085 cd.py:1(<module>)
        1    0.000    0.000    0.071    0.071 ssl.py:1(<module>)
        1    0.000    0.000    0.068    0.068 ssl_.py:1(<module>)
      193    0.002    0.000    0.063    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.061    0.061 retry.py:1(<module>)
       79    0.001    0.000    0.060    0.001 __init__.py:330(_compile)
        1    0.000    0.000    0.059    0.059 header.py:1(<module>)
       77    0.000    0.000    0.059    0.001 __init__.py:287(compile)
      189    0.000    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
        1    0.000    0.000    0.059    0.059 cookiejar.py:1(<module>)
      189    0.001    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       75    0.001    0.000    0.057    0.001 _compiler.py:743(compile)
        1    0.000    0.000    0.055    0.055 random.py:1(<module>)
        1    0.000    0.000    0.053    0.053 shutil.py:1(<module>)
        1    0.000    0.000    0.051    0.051 socket.py:1(<module>)
        1    0.000    0.000    0.042    0.042 bisect.py:1(<module>)
      442    0.005    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        1    0.000    0.000    0.037    0.037 queue.py:1(<module>)
  453/449    0.010    0.000    0.037    0.000 {built-in method builtins.__build_class__}
       75    0.001    0.000    0.035    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.035    0.035 packages.py:1(<module>)
        2    0.000    0.000    0.035    0.017 request.py:1(<module>)
   353/75    0.002    0.000    0.034    0.000 _parser.py:451(_parse_sub)
   474/80    0.013    0.000    0.033    0.000 _parser.py:511(_parse)
      142    0.007    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        1    0.000    0.000    0.027    0.027 url.py:1(<module>)
        2    0.000    0.000    0.025    0.013 abc.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _local.py:1(<module>)
      142    0.025    0.000    0.025    0.000 {built-in method marshal.loads}
