"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"01044099999","2006-01-01T12:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0057,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0030,1","99999,9",,,,,,,"10119,1,99999,9",,,,,"MET041ENHK 011250Z 10011KT CAVOK M00/M03 Q1012;","Q01+000000PRSWM1"
"01044099999","2006-01-01T13:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0072,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0030,1","99999,9",,,,,,,"10119,1,99999,9",,,,,"MET041ENHK 011320Z 10014KT CAVOK M00/M03 Q1012;","Q01+000000PRSWM1"
"01044099999","2006-01-01T13:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0057,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0030,1","99999,9",,,,,,,"10108,1,99999,9",,,,,"MET041ENHK 011350Z 10011KT CAVOK M00/M03 Q1011;","Q01+000000PRSWM1"
"01044099999","2006-01-01T14:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","090,1,N,0072,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0030,1","99999,9",,,,,,,"10108,1,99999,9",,,,,"MET041ENHK 011420Z 09014KT CAVOK M00/M03 Q1011;","Q01+000000PRSWM1"
"01044099999","2006-01-01T14:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","090,1,N,0067,1","99999,9,C,Y","009900,1,N,1","+0000,1","-0030,1","99999,9",,,,,,,"10108,1,99999,9",,,,,"MET041ENHK 011450Z 09013KT CAVOK M00/M03 Q1011;","Q01+000000PRSWM1"
"01044099999","2006-01-01T15:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","090,1,N,0077,1","99999,9,C,Y","009900,1,N,1","+0010,1","-0020,1","99999,9",,,,,,,"10108,1,99999,9",,,,,"MET040ENHK 011520Z 09015KT CAVOK 01/M02 Q1011;","Q01+000000PRSWM1"
"01044099999","2006-01-02T02:05:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-16","ENHK ","V020","160,1,N,0072,1","02700,5,9,N","011265,1,N,1","+9999,9","+9999,9","99999,9","04,5,+00600,5,99,9","07,5,+02700,5,99,9",,,,,"10090,1,99999,9",,,,,"MET062METAR ENHK 0205Z 16014KT 9999 SCT020 BKN090 13/11 Q1009 NOSIG;","Q01+000000PRSWM1"
"01044099999","2006-01-02T04:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","100,1,N,0031,1","22000,1,9,N","011265,1,N,1","-0020,1","-0060,1","99999,9",,,,,,,"10102,1,99999,9",,,,,"MET052ENHK 020420Z 10006KT 070V130 9999 NSC M02/M06 Q1010;","Q01+000000PRSWM1"
"01044099999","2006-01-02T04:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","110,1,N,0031,1","22000,1,9,N","011265,1,N,1","-0020,1","-0050,1","99999,9",,,,,,,"10102,1,99999,9",,,,,"MET052ENHK 020450Z 11006KT 080V150 9999 NSC M02/M05 Q1010;","Q01+000000PRSWM1"
"01044099999","2006-01-02T05:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","130,1,N,0015,1","22000,1,9,N","011265,1,N,1","-0030,1","-0060,1","99999,9",,,,,,,"10108,1,99999,9",,,,,"MET052ENHK 020550Z 13003KT 100V170 9999 NSC M03/M06 Q1011;","Q01+000000PRSWM1"
"01044099999","2006-01-02T06:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","090,1,N,0021,1","22000,1,9,N","011265,1,N,1","-0030,1","-0060,1","99999,9",,,,,,,"10108,1,99999,9",,,,,"MET044ENHK 020620Z 09004KT 9999 NSC M03/M06 Q1011;","Q01+000000PRSWM1"
"01044099999","2006-01-02T06:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","999,9,V,0005,1","22000,1,9,N","011265,1,N,1","-0040,1","-0060,1","99999,9","02,5,+00780,1,99,9",,,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10108,1,99999,9",,,,,"MET047ENHK 020650Z VRB01KT 9999 FEW026 M04/M06 Q1011;","Q01+000000PRSWM1"
"01044099999","2006-01-02T07:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","170,1,N,0021,1","00810,1,C,N","011265,1,N,1","-0020,1","-0050,1","99999,9","07,5,+00810,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10119,1,99999,9",,,,,"MET047ENHK 020750Z 17004KT 9999 BKN027 M02/M05 Q1012;","Q01+000000PRSWM1"
"01044099999","2006-01-02T08:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","140,1,N,0021,1","00600,1,C,N","011265,1,N,1","-0020,1","-0040,1","99999,9","07,5,+00600,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10129,1,99999,9",,,,,"MET047ENHK 020850Z 14004KT 9999 BKN020 M02/M04 Q1013;","Q01+000000PRSWM1"
"01044099999","2006-01-02T09:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","160,1,N,0021,1","00090,5,C,N","011265,1,N,1","-0020,1","-0040,1","99999,9","04,5,+00060,5,99,9","08,5,+00090,5,99,9","02,5,+00450,5,99,9","07,5,+00660,5,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10129,1,99999,9",,,,,"MET108ENHK 020950Z 16004KT 9999 FEW015 BKN022 M02/M04 Q101320950Z 32002KT 1800 -SN BR SCT002 OVC003 M01/M01 Q1015;","Q01+000000PRSWM1"
"01044099999","2006-01-02T11:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","070,1,N,0026,1","00660,1,C,N","011265,1,N,1","-0010,1","-0040,1","99999,9","02,5,+00450,1,99,9","07,5,+00660,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10139,1,99999,9",,,,,"MET054ENHK 021150Z 07005KT 9999 FEW015 BKN022 M01/M04 Q1014;","Q01+000000PRSWM1"
"01044099999","2006-01-02T12:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","ENHK ","V020","080,1,N,0021,1","00750,1,C,N","011265,1,N,1","-0010,1","-0040,1","99999,9","02,5,+00450,1,99,9","07,5,+00750,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10139,1,99999,9",,,,,"MET062ENHK 021220Z 08004KT 020V140 9999 FEW015 BKN025 M01/M04 Q1014;","Q01+000000PRSWM1"
