"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","MW3","OC1","OD1","OD2","REM","EQD"
"01044099999","2021-01-01T03:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","139,1,N,0088,1","99999,9,9,9","999999,9,9,9","+0011,1","-0044,1","10161,1",,,,,,"010,M,+0017,1","010,N,+0010,1","99999,9,10152,1","0,1,001,1,+999,9",,,,"0123,1","4,01,0123,1,140","9,99,0095,1,999","SYN004BUFR",
"01044099999","2021-01-01T08:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","109,1,N,0056,1","99999,9,9,9","999999,9,9,9","+0011,1","-0038,1","10161,1",,,,,,"010,M,+0016,1","010,N,+0007,1","99999,9,10152,1","3,1,002,1,+999,9",,,,"0083,1","4,01,0083,1,110","9,99,0064,1,999","SYN004BUFR",
"01044099999","2021-01-01T13:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","111,1,N,0099,1","99999,9,9,9","999999,9,9,9","+0007,1","-0026,1","10161,1",,,,,,"010,M,+0012,1","010,N,+0008,1","99999,9,10152,1","7,1,002,1,+999,9",,,,"0124,1","4,01,0124,1,115","9,99,0105,1,999","SYN004BUFR",
"01044099999","2021-01-01T13:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","120,1,N,0098,1","99999,9,9,N","009999,1,9,9","+0000,1","-0030,1","99999,9","02,1,+00762,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,,"MET052METAR ENHK 011320Z 12019KT 9999 FEW025 00/M03 Q1015=",
"01044099999","2021-01-01T13:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","110,1,N,0098,1","99999,9,9,N","009999,1,9,9","+0000,1","-0030,1","99999,9","02,1,+00762,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,,"MET052METAR ENHK 011350Z 11019KT 9999 FEW025 00/M03 Q1015=",
"01044099999","2021-01-01T14:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","105,1,N,0104,1","99999,9,9,9","999999,9,9,9","+0005,1","-0031,1","10159,1",,,,,,"010,M,+0008,1","010,N,+0003,1","99999,9,10150,1","7,1,003,1,+999,9",,,,"0123,1","4,01,0123,1,102","9,99,0105,1,999","SYN004BUFR",
"01044099999","2021-01-01T14:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","120,1,N,0093,1","99999,9,9,N","009999,1,9,9","+0000,1","-0030,1","99999,9","02,1,+00762,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,,"MET052METAR ENHK 011420Z 12018KT 9999 FEW025 00/M03 Q1015=",
"01044099999","2021-01-01T14:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","120,1,N,0082,1","99999,9,9,N","009999,1,9,9","+0000,1","-0040,1","99999,9","02,1,+00762,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,,"MET052METAR ENHK 011450Z 12016KT 9999 FEW025 00/M04 Q1015=",
"01044099999","2021-01-01T15:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","110,1,N,0084,1","99999,9,9,9","999999,9,9,9","+0002,1","-0036,1","10158,1",,,,,,"010,M,+0006,1","010,N,+0001,1","99999,9,10149,1","7,1,004,1,+999,9",,,,"0123,1","4,01,0123,1,102","9,99,0105,1,999","SYN004BUFR",
"01044099999","2021-01-01T15:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","110,1,N,0067,1","99999,9,9,N","009999,1,9,9","+0000,1","-0040,1","99999,9","02,1,+00610,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,,"MET053METAR ENHK 011550Z 11013KT 9999 FEW020 M00/M04 Q1015=",
"01044099999","2021-01-01T16:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","102,1,N,0070,1","99999,9,9,9","999999,9,9,9","+0000,1","-0037,1","10158,1",,,,,,"010,M,+0002,1","010,N,-0004,1","99999,9,10149,1","7,1,003,1,+999,9",,,,"0098,1","4,01,0098,1,111","9,99,0085,1,999","SYN004BUFR",
"01044099999","2021-01-01T16:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","120,1,N,0082,1","99999,9,9,N","009999,1,9,9","-0010,1","-0040,1","99999,9","02,1,+00610,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10150,1,99999,9",,,,,,,,"MET053METAR ENHK 011650Z 12016KT 9999 FEW020 M01/M04 Q1015=",
